lb_nom_key,cd_nom_key,lb_cd_nom_key,regne_key,groupe,group1_inpn,code_espece_key,version_taxref,sortby
"Acrotona <b><span style=""color:#02138e"">(nom valide)</span></b>",639131,Acrotona!639131,Animalia,Insectes,Arthropodes,acr,15,194
"Acrotrichis <b><span style=""color:#02138e"">(nom valide)</span></b>",205158,Acrotrichis!205158,Animalia,Insectes,Arthropodes,acr,15,195
"Acrotritia <b><span style=""color:#02138e"">(nom valide)</span></b>",778262,Acrotritia!778262,Animalia,Arachnides,Arthropodes,acr,15,196
"Acrotylus <b><span style=""color:#02138e"">(nom valide)</span></b>",188783,Acrotylus!188783,Animalia,Insectes,Arthropodes,acr,15,197
"Acrulia <b><span style=""color:#02138e"">(nom valide)</span></b>",188784,Acrulia!188784,Animalia,Insectes,Arthropodes,acr,15,198
"Actaletes <b><span style=""color:#02138e"">(nom valide)</span></b>",214715,Actaletes!214715,Animalia,Entognathes,Arthropodes,act,15,199
"Actebia <b><span style=""color:#02138e"">(nom valide)</span></b>",211040,Actebia!211040,Animalia,Insectes,Arthropodes,act,15,200
"Actenicerus <b><span style=""color:#02138e"">(nom valide)</span></b>",188787,Actenicerus!188787,Animalia,Insectes,Arthropodes,act,15,201
"Actenodia <b><span style=""color:#02138e"">(nom valide)</span></b>",204414,Actenodia!204414,Animalia,Insectes,Arthropodes,act,15,202
"Acteon <b><span style=""color:#02138e"">(nom valide)</span></b>",188788,Acteon!188788,Animalia,Gastéropodes,Mollusques,act,15,203
"Actia <b><span style=""color:#02138e"">(nom valide)</span></b>",188790,Actia!188790,Animalia,Insectes,Arthropodes,act,15,204
"Actidium <b><span style=""color:#02138e"">(nom valide)</span></b>",188793,Actidium!188793,Animalia,Insectes,Arthropodes,act,15,205
"Actina <b><span style=""color:#02138e"">(nom valide)</span></b>",205932,Actina!205932,Animalia,Insectes,Arthropodes,act,15,206
"Actinocythereis <b><span style=""color:#02138e"">(nom valide)</span></b>",654059,Actinocythereis!654059,Animalia,Crustacés,Arthropodes,act,15,207
"Actinonotus <b><span style=""color:#02138e"">(nom valide)</span></b>",207239,Actinonotus!207239,Animalia,Insectes,Arthropodes,act,15,208
"Actinoptera <b><span style=""color:#02138e"">(nom valide)</span></b>",206131,Actinoptera!206131,Animalia,Insectes,Arthropodes,act,15,209
"Actinopteryx <b><span style=""color:#02138e"">(nom valide)</span></b>",188802,Actinopteryx!188802,Animalia,Insectes,Arthropodes,act,15,210
"Actinotia <b><span style=""color:#02138e"">(nom valide)</span></b>",211043,Actinotia!211043,Animalia,Insectes,Arthropodes,act,15,211
"Actitis <b><span style=""color:#02138e"">(nom valide)</span></b>",188807,Actitis!188807,Animalia,Oiseaux,Chordés,act,15,212
"Actocharis <b><span style=""color:#02138e"">(nom valide)</span></b>",205238,Actocharis!205238,Animalia,Insectes,Arthropodes,act,15,213
"Actumnus <b><span style=""color:#02138e"">(nom valide)</span></b>",594124,Actumnus!594124,Animalia,Crustacés,Arthropodes,act,15,214
"Aculepeira <b><span style=""color:#02138e"">(nom valide)</span></b>",188808,Aculepeira!188808,Animalia,Arachnides,Arthropodes,acu,15,215
"Aculops <b><span style=""color:#02138e"">(nom valide)</span></b>",201834,Aculops!201834,Animalia,Arachnides,Arthropodes,acu,15,216
"Aculus <b><span style=""color:#02138e"">(nom valide)</span></b>",201829,Aculus!201829,Animalia,Arachnides,Arthropodes,acu,15,217
"Acupalpus <b><span style=""color:#02138e"">(nom valide)</span></b>",188809,Acupalpus!188809,Animalia,Insectes,Arthropodes,acu,15,218
"Acutaspis <b><span style=""color:#02138e"">(nom valide)</span></b>",207857,Acutaspis!207857,Animalia,Insectes,Arthropodes,acu,15,219
"Acuticauda <b><span style=""color:#02138e"">(nom valide)</span></b>",207794,Acuticauda!207794,Animalia,Insectes,Arthropodes,acu,15,220
"Acyglossa <b><span style=""color:#02138e"">(nom valide)</span></b>",205494,Acyglossa!205494,Animalia,Insectes,Arthropodes,acy,15,221
"Acylomus <b><span style=""color:#02138e"">(nom valide)</span></b>",593053,Acylomus!593053,Animalia,Insectes,Arthropodes,acy,15,222
"Acylophorus <b><span style=""color:#02138e"">(nom valide)</span></b>",205237,Acylophorus!205237,Animalia,Insectes,Arthropodes,acy,15,223
"Acyrthosiphon <b><span style=""color:#02138e"">(nom valide)</span></b>",207743,Acyrthosiphon!207743,Animalia,Insectes,Arthropodes,acy,15,224
"Adactylotis <b><span style=""color:#02138e"">(nom valide)</span></b>",210674,Adactylotis!210674,Animalia,Insectes,Arthropodes,ada,15,225
"Adaina <b><span style=""color:#02138e"">(nom valide)</span></b>",211229,Adaina!211229,Animalia,Insectes,Arthropodes,ada,15,226
"Adalaria <b><span style=""color:#02138e"">(nom valide)</span></b>",353690,Adalaria!353690,Animalia,Gastéropodes,Mollusques,ada,15,227
"Adalbertia <b><span style=""color:#02138e"">(nom valide)</span></b>",210676,Adalbertia!210676,Animalia,Insectes,Arthropodes,ada,15,228
"Adalia <b><span style=""color:#02138e"">(nom valide)</span></b>",188810,Adalia!188810,Animalia,Insectes,Arthropodes,ada,15,229
"Adamystis <b><span style=""color:#02138e"">(nom valide)</span></b>",201581,Adamystis!201581,Animalia,Arachnides,Arthropodes,ada,15,230
"Adarrus <b><span style=""color:#02138e"">(nom valide)</span></b>",206819,Adarrus!206819,Animalia,Insectes,Arthropodes,ada,15,231
"Addisonia <b><span style=""color:#02138e"">(nom valide)</span></b>",188812,Addisonia!188812,Animalia,Gastéropodes,Mollusques,add,15,232
"Adela <b><span style=""color:#02138e"">(nom valide)</span></b>",210746,Adela!210746,Animalia,Insectes,Arthropodes,ade,15,233
"Adelencyrtus <b><span style=""color:#02138e"">(nom valide)</span></b>",208306,Adelencyrtus!208306,Animalia,Insectes,Arthropodes,ade,15,234
"Adelges <b><span style=""color:#02138e"">(nom valide)</span></b>",208009,Adelges!208009,Animalia,Insectes,Arthropodes,ade,15,235
"Adelina <b><span style=""color:#02138e"">(nom valide)</span></b>",640339,Adelina!640339,Animalia,Insectes,Arthropodes,ade,15,236
"Adelius <b><span style=""color:#02138e"">(nom valide)</span></b>",209159,Adelius!209159,Animalia,Insectes,Arthropodes,ade,15,237
"Adelognathus <b><span style=""color:#02138e"">(nom valide)</span></b>",209710,Adelognathus!209710,Animalia,Insectes,Arthropodes,ade,15,238
"Adelphocoris <b><span style=""color:#02138e"">(nom valide)</span></b>",188817,Adelphocoris!188817,Animalia,Insectes,Arthropodes,ade,15,239
"Ademon <b><span style=""color:#02138e"">(nom valide)</span></b>",209174,Ademon!209174,Animalia,Insectes,Arthropodes,ade,15,240
"Adenomeris <b><span style=""color:#02138e"">(nom valide)</span></b>",212724,Adenomeris!212724,Animalia,Myriapodes,Arthropodes,ade,15,241
"Adenoptus <b><span style=""color:#02138e"">(nom valide)</span></b>",201871,Adenoptus!201871,Animalia,Arachnides,Arthropodes,ade,15,242
"Aderus <b><span style=""color:#02138e"">(nom valide)</span></b>",204347,Aderus!204347,Animalia,Insectes,Arthropodes,ade,15,243
"Adeuomphalus <b><span style=""color:#02138e"">(nom valide)</span></b>",357531,Adeuomphalus!357531,Animalia,Gastéropodes,Mollusques,ade,15,244
"Adexius <b><span style=""color:#02138e"">(nom valide)</span></b>",188821,Adexius!188821,Animalia,Insectes,Arthropodes,ade,15,245
"Adia <b><span style=""color:#02138e"">(nom valide)</span></b>",188822,Adia!188822,Animalia,Insectes,Arthropodes,adi,15,246
"Adialytus <b><span style=""color:#02138e"">(nom valide)</span></b>",209171,Adialytus!209171,Animalia,Insectes,Arthropodes,adi,15,247
"Adicella <b><span style=""color:#02138e"">(nom valide)</span></b>",188824,Adicella!188824,Animalia,Insectes,Arthropodes,adi,15,248
"Adinaefiola <b><span style=""color:#02138e"">(nom valide)</span></b>",972250,Adinaefiola!972250,Animalia,Céphalopodes,Mollusques,adi,15,249
"Adiscodiaspis <b><span style=""color:#02138e"">(nom valide)</span></b>",207852,Adiscodiaspis!207852,Animalia,Insectes,Arthropodes,adi,15,250
"Adistemia <b><span style=""color:#02138e"">(nom valide)</span></b>",203927,Adistemia!203927,Animalia,Insectes,Arthropodes,adi,15,251
"Admontia <b><span style=""color:#02138e"">(nom valide)</span></b>",188826,Admontia!188826,Animalia,Insectes,Arthropodes,adm,15,252
"Adomerus <b><span style=""color:#02138e"">(nom valide)</span></b>",207500,Adomerus!207500,Animalia,Insectes,Arthropodes,ado,15,253
"Adontorhina <b><span style=""color:#02138e"">(nom valide)</span></b>",936493,Adontorhina!936493,Animalia,Bivalves,Mollusques,ado,15,254
"Adoxomyia <b><span style=""color:#02138e"">(nom valide)</span></b>",205933,Adoxomyia!205933,Animalia,Insectes,Arthropodes,ado,15,255
"Adoxophyes <b><span style=""color:#02138e"">(nom valide)</span></b>",211569,Adoxophyes!211569,Animalia,Insectes,Arthropodes,ado,15,256
"Adrastus <b><span style=""color:#02138e"">(nom valide)</span></b>",188830,Adrastus!188830,Animalia,Insectes,Arthropodes,adr,15,257
"Adscita <b><span style=""color:#02138e"">(nom valide)</span></b>",211691,Adscita!211691,Animalia,Insectes,Arthropodes,ads,15,258
"Aedes <b><span style=""color:#02138e"">(nom valide)</span></b>",188832,Aedes!188832,Animalia,Insectes,Arthropodes,aed,15,259
"Aedia <b><span style=""color:#02138e"">(nom valide)</span></b>",211051,Aedia!211051,Animalia,Insectes,Arthropodes,aed,15,260
"Aega <b><span style=""color:#02138e"">(nom valide)</span></b>",356004,Aega!356004,Animalia,Crustacés,Arthropodes,aeg,15,261
"Aegaeon <b><span style=""color:#02138e"">(nom valide)</span></b>",352719,Aegaeon!352719,Animalia,Crustacés,Arthropodes,aeg,15,262
"Aegapheles <b><span style=""color:#02138e"">(nom valide)</span></b>",526126,Aegapheles!526126,Animalia,Crustacés,Arthropodes,aeg,15,263
"Aegialia <b><span style=""color:#02138e"">(nom valide)</span></b>",188833,Aegialia!188833,Animalia,Insectes,Arthropodes,aeg,15,264
"Aegires <b><span style=""color:#02138e"">(nom valide)</span></b>",188837,Aegires!188837,Animalia,Gastéropodes,Mollusques,aeg,15,265
"Aegisthus <b><span style=""color:#02138e"">(nom valide)</span></b>",356212,Aegisthus!356212,Animalia,Crustacés,Arthropodes,aeg,15,266
"Aegithalos <b><span style=""color:#02138e"">(nom valide)</span></b>",188838,Aegithalos!188838,Animalia,Oiseaux,Chordés,aeg,15,267
"Aegolius <b><span style=""color:#02138e"">(nom valide)</span></b>",188839,Aegolius!188839,Animalia,Oiseaux,Chordés,aeg,15,268
"Aegomorphus <b><span style=""color:#02138e"">(nom valide)</span></b>",203668,Aegomorphus!203668,Animalia,Insectes,Arthropodes,aeg,15,269
